code,name_short,gender,function,country_code,country,nationality,height,weight,disciplines,events,birth_date,occupation,coach,influence,ritual,Cluster
1533359,RUBAIAWI AAY,Male,Athlete,IRQ,Iraq,Iraq,0,0.0,['Weightlifting'],"[""Men's +102kg""]",02-08-2004,Athlete,,,,0
1533364,ISMAIL M,Male,Athlete,DJI,Djibouti,Djibouti,170,0.0,['Athletics'],"[""Men's 5000m""]",01-01-1997,"Athlete, sport soldier",Personal: Hussein Shibo (ETH),,,1
1533371,HASSAN I,Male,Athlete,DJI,Djibouti,Djibouti,170,0.0,['Athletics'],"[""Men's Marathon""]",01-01-1997,"Athlete, soldier with the Djiboutian Republican Guard",,,,1
1533372,WAISS A,Male,Athlete,DJI,Djibouti,Djibouti,170,0.0,['Athletics'],"[""Men's 5000m""]",03-07-1996,"Athlete, sport soldier",Personal: Hussein Shibo (ETH),,,1
1533374,HASSAN NOUR S,Female,Athlete,DJI,Djibouti,Djibouti,160,0.0,['Athletics'],"[""Women's 5000m""]",05-12-1999,"Athlete, sport soldier",Personal: Hussein Shibo (ETH),,,1
1533378,HOUSSEIN BARKAT H,Male,Athlete,DJI,Djibouti,Djibouti,0,0.0,['Swimming'],"[""Men's 50m Freestyle""]",04-04-2004,,,,,0
1535180,BARAT A,Male,Athlete,COM,Comoros,Comoros,0,0.0,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",29-11-1997,,Personal: Lukas Jacob,,,0
1535186,MARTINEZ RAMIREZ M,Male,Athlete,MEX,Mexico,Mexico,178,0.0,['Boxing'],"[""Men's 63.5kg""]",17-03-2001,,,,,1
1535187,VERDE ALVAREZ MA,Male,Athlete,MEX,Mexico,Mexico,180,0.0,['Boxing'],"[""Men's 71kg""]",11-02-2002,,Personal: Radames Hernandez (MEX),,,1
1535191,GONZALEZ A,Female,Athlete,MEX,Mexico,Mexico,158,0.0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",02-01-1999,"Athlete, serves in the navy","Personal: Ignacio Zamudio (MEX), 1996 Olympian","Her mother and grandmother. ""I do race walking for them. I call them both mom."" (eleconomista.com.mx, 10 Mar 2021)",,1
1535195,LOPEZ JT,Male,Athlete,MEX,Mexico,Mexico,190,0.0,['Athletics'],"[""Men's 800m""]",02-08-1997,Athlete,Personal: Conrado Soto (MEX),His family,,1
1535199,PORTILLO E,Male,Athlete,MEX,Mexico,Mexico,190,0.0,['Athletics'],"[""Men's High Jump""]",05-10-2000,Athlete,Personal: Lazaro Paz (CUB),,,1
1535201,MUNOZ U,Male,Athlete,MEX,Mexico,Mexico,185,0.0,['Athletics'],"[""Men's Shot Put""]",08-09-1995,Athlete,Personal: Alejandro Laberdesque (CUB),,,1
1535202,del REAL D,Male,Athlete,MEX,Mexico,Mexico,185,0.0,['Athletics'],"[""Men's Hammer Throw""]",06-03-1994,Athlete,Personal: Alejandro Laberdesque (CUB),,,1
1535203,DOCTOR JL,Male,Athlete,MEX,Mexico,Mexico,175,0.0,['Athletics'],"[""Men's 20km Race Walk""]",14-06-1996,Athlete,"Personal: Raul Gonzalez (MEX), four-time Olympian and two-time 1984 Olympic race walk medallist",,,1
1535212,MORAN P,Female,Athlete,MEX,Mexico,Mexico,169,0.0,['Athletics'],"[""Women's 400m""]",25-02-1997,Athlete,Personal: Luis Montes Leon (MEX),,,1
1535214,GALVAN L,Female,Athlete,MEX,Mexico,Mexico,162,0.0,['Athletics'],"[""Women's 5000m""]",05-10-1991,Athlete,Personal: Cecilio Blancarte (MEX),,,1
1535216,CORTES AD,Female,Athlete,MEX,Mexico,Mexico,160,0.0,['Athletics'],"[""Women's 5000m""]",26-12-1997,Athlete,Personal: Martin Nunez (MEX),,,1
1535217,CRISTIAN MOSCOTE C,Female,Athlete,MEX,Mexico,Mexico,154,0.0,['Athletics'],"[""Women's Marathon""]",15-04-1995,Athlete,Personal: Cristobal Herrera (MEX),,,1
1535222,PALMA OLIVARES EJ,Male,Athlete,MEX,Mexico,Mexico,168,0.0,['Athletics'],['Marathon Race Walk Relay Mixed'],18-03-1992,"Athlete, entrepreneur","Personal: Adrian Palma (MEX), his brother",,,1
1535225,OETLING RAMIREZ E,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Sailing'],"[""Women's Dinghy""]",18-04-1993,"Athlete, business owner","Tania Elías Calles (MEX), four-time Olympian. Noel Guerra",,,0
1535226,AGUILAR CH P,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Sailing'],"[""Women's Windsurfing""]",12-03-1999,"Athlete, student",Personal: Marisa Chavez Peon,,,0
1535252,LECHUGA ALANIS K,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Rowing'],"[""Women's Single Sculls""]",26-06-1994,Armed Forces athlete,,,,0
1535260,LOPEZ GARCIA A,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Rowing'],"[""Lightweight Men's Double Sculls""]",01-05-1997,Athlete,,,,0
1535267,CARBALLO NIETO M,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Rowing'],"[""Lightweight Men's Double Sculls""]",08-07-1992,Athlete,,,,0
1535310,BLANCO L,Female,Athlete,COL,Colombia,Colombia,0,0.0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",18-11-2001,"Athlete, student",Personal: Ashley Johnson (USA).<br>National: Diego Medina,,,0
1535343,WILLARS VALDEZ R,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",30-04-2002,Armed forces athlete,Shi Qingying (CHN),,,0
1535345,BERLIN REYES K,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Diving'],"[""Men's 10m Platform"", ""Men's Synchronised 10m Platform""]",25-04-2001,Athlete,,,,0
1535346,OROZCO LOZA A,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",19-04-1997,Armed forces athlete,,,,0
1535348,AGUNDEZ GARCIA G,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Diving'],"[""Women's 10m Platform"", ""Women's Synchronised 10m Platform""]",04-08-2000,Armed forces athlete,,,,0
1535349,OLVERA IBARRA O,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Diving'],"[""Men's 3m Springboard"", ""Men's Synchronised 3m Springboard""]",05-06-2004,,,,,0
1535350,GARZA PEREZ E,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",23-07-1996,Athlete,,,,0
1535351,FERNANDEZ F,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",28-03-1968,In 2004 he launched Grupo SIM which offers business services to small and medium-sized companies in Mexico,,,,0
1535354,de LARA OJEDA MA,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Swimming'],"[""Men's 100m Breaststroke"", ""Men's 200m Breaststroke""]",09-08-1994,,"Club: Sergio Lopez (ESP), since January 2023",,,0
1535356,MORENO A,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",08-08-1994,Athlete,Personal: Aldo Torres (MEX),Her parents,,0
1535357,SANDOVAL A,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",05-10-1996,Athlete,Personal: Jose Adrian Meza Padilla (MEX),"Her family, coach, partner ""and the people who have motivated me to be the best version of myself.” (intlgymnast.com, 12 Mar 2024)","When she is preparing for a competition, applying her makeup and combing her hair, she watches the film Hercules.  ""Once I’m ready I listen to music that makes me dance a little.” (intlgymnast.com)",0
1535358,FLORES S,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Rhythmic Gymnastics'],['Group All-Around'],20-12-2004,Athlete,National: Blajaith Aguilar (MEX),,,0
1535359,SALAZAR K,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Rhythmic Gymnastics'],['Group All-Around'],24-04-2004,Athlete,National: Blajaith Aguilar (MEX),,,0
1535360,TEJEDA A,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Rhythmic Gymnastics'],['Group All-Around'],21-06-2002,Athlete,National: Blajaith Aguilar (MEX),,,0
1535361,ALCOCER D,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Rhythmic Gymnastics'],['Group All-Around'],02-01-2004,Athlete,National: Blajaith Aguilar (MEX),,,0
1535362,GUTIERREZ J,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Rhythmic Gymnastics'],['Group All-Around'],13-09-2007,Athlete,National: Blajaith Aguilar (MEX),,,0
1535363,HERNANDEZ E,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Modern Pentathlon'],"[""Men's Individual""]",27-01-1998,,Swimming: Isaac Cortes (MEX).<br>Running: Juan Luis Barrios (MEX).<br>Riding: Gabriela Hernandez (MEX).<br>Shooting: Rosario Alvarez (MEX).<br>Sports psychologist: Claudia Rivas (MEX),,,0
1535364,CARRILLO D,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Modern Pentathlon'],"[""Men's Individual""]",24-03-1997,Armed Forces athlete,,,,0
1535365,OLIVER M,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Modern Pentathlon'],"[""Women's Individual""]",11-07-1993,,Club: Isaac Cortes Garcia (MEX),,,0
1535366,SANSORES C,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Taekwondo'],['Men +80kg'],25-06-1997,Athlete,National: Alfonso Victoria (MEX),,,0
1535367,SOUZA DP,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Taekwondo'],['Women -49kg'],27-08-1999,Military athlete,National: Abel Mendoza (MEX),,,0
1535368,CLELAND QUINONEZ A,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Surfing'],['Men'],19-06-2002,Athlete,Guillermo ‘Macaco’ Mendez (MEX),"Father Alan Sr, who once appeared on the cover of Surfer Magazine",,0
1535373,GRIGORIAN A,Male,Athlete,UAE,UA Emirates,UA Emirates,0,0.0,['Judo'],['Men -90 kg'],09-06-1998,Athlete,National: Victor Scvortov (MDA).</p><p>Victor Astakhov (RUS).<br>Dmitry Kletskov (RUS).<br>Rudolf Mikhailovich Baboyan (RUS).<br>Ervand Mgdsyan (RUS),,,0
1535374,KOSTOEV D,Male,Athlete,UAE,UA Emirates,UA Emirates,0,0.0,['Judo'],['Men -100 kg'],28-04-1999,Athlete,National: Victor Scvortov (MDA),,,0
1535375,MAGOMEDOMAROV M,Male,Athlete,UAE,UA Emirates,UA Emirates,0,0.0,['Judo'],['Men +100 kg'],10-04-2001,Athlete,National: Victor Scvortov (MDA),,,0
1535376,TATALASHVILI N,Male,Athlete,UAE,UA Emirates,UA Emirates,0,0.0,['Judo'],['Men -81 kg'],20-03-1990,,Victor Scvortov (MDA),His family,,0
1535383,BISHRELT K,Female,Athlete,UAE,UA Emirates,UA Emirates,0,0.0,['Judo'],['Women -52 kg'],29-05-1998,,National: Victor Scvortov (UAE/MDA)<br>Personal: Khishigbat Erdenet-Od (MGL),"Judoka Sumiya Dorjsuren (MGL), 2016 Olympic -57kg silver medallist, three-time world championship medallist (one gold, two bronze)",She is a Buddhist,0
1535385,HOUSSEIN A,Male,Athlete,DJI,Djibouti,Djibouti,0,0.0,['Judo'],['Men -73 kg'],28-03-1998,"Athlete, student",Michel Lebrun (FRA),"HIs coach, Michel Lebrun (FRA). ""He gave me the desire to compete and do as well as possible.""",,0
1535395,AL SAYEGH S,Female,Athlete,UAE,UA Emirates,UA Emirates,0,0.0,['Cycling Road'],"[""Women's Road Race""]",23-09-2001,"Athlete, student",,Her family,,0
1535420,VALENCIA A,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",17-10-1994,"Athlete, sport soldier",National/personal: Miguel Angel Flores (MEX),,,0
1535429,RUIZ A,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Archery'],"[""Women's Individual"", ""Women's Team""]",28-07-2006,"Athlete, student","National: Miguel Angel Flores (MEX).<br>Personal: Miguel Barcenas (MEX), Eduardo Magana (MEX)",,,0
1535430,GRANDE M,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Archery'],"[""Men's Individual"", ""Men's Team"", 'Mixed Team']",26-04-2004,"Athlete, student",National: David Alejandro Velez Sanchez (MEX),,,0
1535433,PRIETO M,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Cycling Road'],"[""Women's Road Race""]",11-03-1992,Athlete,,,,0
1535438,RAMIREZ RAMOS EI,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Shooting'],"['10m Air Rifle Men', '10m Air Rifle Mixed Team']",10-07-2000,"Athlete, student",Personal: Blas Ruiz (MEX),,,0
1535439,RODRIGUEZ G,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Shooting'],['Skeet Women'],12-12-1996,Athlete,"National: Ariel Mauricio Flores (MEX).<br>Personal: Pietro Genga (ITA), Javier Rodríguez (MEX) - her father","Her coach, Pietro Genga (ITA). ""He has taught me so much, and changed my whole approach to the sport. He made me believe in myself."" (Athlete, 1 Jul 2024)","""I believe a lot in energies and collaboration with the universe. I give thanks to God in advance for my future success."" (Athlete, 1 Jul 2024)",0
1535440,ZAVALA VAZQUEZ A,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women']",16-06-1984,Military athlete,Personal: Tania Estrella Perez Ramos (CUB),,,0
1535441,QUEZADA MARQUEZ C,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men']",21-10-1999,"Athlete, student","National: Pedro Acosta, Marcos Pulator.<br>Personal: Ruben Alexey Galardy de la Rosa (MEX)",His parents,,0
1535442,PENAFLOR MOYSEN AM,Male,Athlete,MEX,Mexico,Mexico,0,0.0,['Triathlon'],"[""Men's Individual""]",11-03-1999,Athlete,National: Luis Miguel Chávez Rincón (MEX),,,0
1535444,REINOSO S,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Canoe Slalom'],"[""Women's Kayak Single"", ""Women's Kayak Cross""]",23-10-1996,Athlete,,Her parents,,0
1535448,BRIONES FRAGOZA B,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Canoe Sprint'],"[""Women's Kayak Single 500m"", ""Women's Kayak Double 500m""]",10-02-1999,Athlete,Elizabeth Orta (MEX),,,0
1535449,ALANIS MORALES K,Female,Athlete,MEX,Mexico,Mexico,0,0.0,['Canoe Sprint'],"[""Women's Kayak Single 500m"", ""Women's Kayak Double 500m""]",09-12-1993,Athlete,,,,0
1535505,LINARES N,Female,Athlete,COL,Colombia,Colombia,171,0.0,['Athletics'],"[""Women's Long Jump""]",03-01-2003,"Athlete, student",Personal: Martin Suarez (COL),,,1
1535506,LONGA R,Male,Athlete,COL,Colombia,Colombia,183,0.0,['Athletics'],"[""Men's 100m""]",30-06-2004,Athlete,Personal: Jorge Benitez (COL),"Grandmother Carmen. “I do everything in her memory. She died in 2012 and I still remember that sad moment. Carmen lives in me. She has never left. All my victories will always be dedicated to her.” (eltiempo.com, 25 May 2023)",,1
1535511,RUIZ HURTADO FD,Female,Athlete,COL,Colombia,Colombia,175,0.0,['Athletics'],"[""Women's Javelin Throw""]",29-01-1991,Athlete,"Personal: Ramon Breto (CUB), Luis Carlos Lucumi (COL)",,,1
1535512,ORJUELA A,Female,Athlete,COL,Colombia,Colombia,158,0.0,['Athletics'],"[""Women's Marathon""]",09-05-1989,Athlete,Personal: Humberto Ramirez (COL),,,1
1535513,RENTERIA RENTERIA,Female,Athlete,COL,Colombia,Colombia,0,0.0,['Wrestling'],"[""Women's Freestyle 76kg""]",22-12-2000,,National: David Gutierrez (COL),,,0
1535514,VALDES PANA AP,Female,Athlete,COL,Colombia,Colombia,165,0.0,['Boxing'],"[""Women's 60kg""]",14-07-2000,,,,,1
1535522,ARBOLEDA MENDOZA V,Female,Athlete,COL,Colombia,Colombia,164,0.0,['Boxing'],"[""Women's 57kg""]",13-04-2002,Parks assistant,,,,1
1535524,BOLANOS LOPEZ V,Male,Athlete,COL,Colombia,Colombia,0,0.0,['Sailing'],"[""Men's Kite""]",19-09-1994,,Quentin Prevout (BEL),,,0
1535609,ABDOLI S,Male,Athlete,IRI,IR Iran,IR Iran,0,0.0,['Swimming'],"[""Men's 100m Freestyle""]",25-12-2002,Athlete,,,,0
1535660,SIMWAKA A,Female,Athlete,MAW,Malawi,Malawi,168,0.0,['Athletics'],"[""Women's 100m""]",08-08-1997,"Athlete, soldier",Personal: Pachisi Nyasulu,,,1
1535693,AL MARZOOQI OAA,Male,Athlete,UAE,UA Emirates,UA Emirates,0,0.0,['Equestrian'],"['Jumping Individual', 'Jumping Team']",28-03-2003,,"Abdelaziz Al Marzooqi (UAE), his father",His father,,0
1535729,SERRANO F,Male,Athlete,ARG,Argentina,Argentina,0,0.0,['Modern Pentathlon'],"[""Men's Individual""]",22-11-2000,Sports soldier in the Argentine Army,,His family,,0
1535766,KUMEL SAADI,Male,Athlete,IRQ,Iraq,Iraq,191,0.0,['Football'],['Men'],19-08-2004,Athlete,National: Radhi Shenaishil (IRQ),,,1
1535776,JOSEF AL IMAM,Male,Athlete,IRQ,Iraq,Iraq,182,0.0,['Football'],['Men'],27-07-2004,Athlete,National: Radhi Shenaishil (IRQ),,,1
1535804,MUNTADHER ABDULAM,Male,Athlete,IRQ,Iraq,Iraq,165,0.0,['Football'],['Men'],06-10-2001,Athlete,National: Radhi Shenaishil (IRQ),,,1
1535805,MUNTADHER MOHAMMED,Male,Athlete,IRQ,Iraq,Iraq,170,0.0,['Football'],['Men'],05-06-2001,Athlete,National: Radhi Shenaishil (IRQ),,,1
1535852,MAEDER M,Male,Athlete,SGP,Singapore,Singapore,0,0.0,['Sailing'],"[""Men's Kite""]",12-09-2006,Athlete,"Jonny Dolenc (CRO), father of Croatian sailor Martin Dolenc",,Before competition he listens to ‘Stardust Crusaders’ theme from JoJo's Bizarre Adventure (manga). During a race he has Vivaldi's 'The Four Seasons' in his head,0
1535853,LO R,Male,Athlete,SGP,Singapore,Singapore,0,0.0,['Sailing'],"[""Men's Dinghy""]",26-02-1997,"Athlete, student",,,,0
1535854,SIM EYL,Female,Athlete,SGP,Singapore,Singapore,0,0.0,['Swimming'],"[""Women's 100m Breaststroke"", ""Women's 200m Breaststroke"", ""Women's 4 x 100m Medley Relay""]",03-03-2003,"Athlete, student",Personal: Gustavo Schirru (BRA).<br>National: Gary Tan (SGP),,,0
1535856,TAN JEJ,Male,Athlete,SGP,Singapore,Singapore,0,0.0,['Swimming'],"[""Men's 100m Freestyle"", ""Men's 50m Freestyle""]",11-03-2002,"Athlete, student",Club: Dan Schemmel (USA) - Stanford University.<br>National: Gary Tan (SGP),,,0
1535858,PEREIRA VS,Female,Athlete,SGP,Singapore,Singapore,164,0.0,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",20-09-1996,Athlete,Luis Cunha,Her sister Valerie,"Unlike many athletes who steer clear of social media during major competitions to avoid distractions and negative messages, she sees it differently. </p><p>""I enjoy social media, I like using it…my TikTok algorithm is nothing about track! For me, it's a way of relaxing, in a way. The things I like to watch are organising videos, packing videos, makeup, beauty, fashion; that kind of relaxes me. I find ways to make social media positive for myself."" (olympics.com, 5 Oct 2023)",1
1535910,ZAID TAHSEEN,Male,Athlete,IRQ,Iraq,Iraq,187,0.0,['Football'],['Men'],29-01-2001,Athlete,National: Radhi Shenaishil (IRQ),,,1
1535913,HUSSEIN AMER,Male,Athlete,IRQ,Iraq,Iraq,182,0.0,['Football'],['Men'],28-04-2002,,,,,1
1535914,ANAK LISES BR,Male,Athlete,MAS,Malaysia,Malaysia,0,0.0,['Diving'],"[""Men's 10m Platform""]",28-05-2005,,,,,0
1535916,HUSSEIN LAWEND,Male,Athlete,IRQ,Iraq,Iraq,180,0.0,['Football'],['Men'],20-01-2001,Athlete,Club: Ahmed Salah (IRQ).<br>National: Radhi Shenaishil (IRQ),,,1
1535918,WONG GJ,Male,Athlete,MAS,Malaysia,Malaysia,0,0.0,['Shooting'],['10m Air Pistol Men'],23-08-1992,Shooting range manager,National: Mohd Firdaus Abdul Rahim (MAS),"His grandfather. ""He inspired me to excel in sports and represent the country at Olympic and continental Games."" (Athlete, 11 May 2024)",Prays before competition,0
1535925,MOHAMAD ZUBIR NA,Female,Athlete,MAS,Malaysia,Malaysia,0,0.0,['Cycling Road'],"[""Women's Road Race""]",04-10-1997,Athlete,,,,0
1535926,MOHAMAD LATIF NS,Female,Athlete,MAS,Malaysia,Malaysia,0,0.0,['Sailing'],"[""Women's Dinghy""]",02-02-1998,Athlete,Club: Mohd Hafizi Roslee (MAS),,,0
1535927,ALI JASIM,Male,Athlete,IRQ,Iraq,Iraq,178,0.0,['Football'],['Men'],20-01-2004,Athlete,National: Radhi Shenaishil (IRQ),,,1
1535928,KARRAR SAAD,Male,Athlete,IRQ,Iraq,Iraq,176,0.0,['Football'],['Men'],22-03-2001,Athlete,National: Radhi Shenaishil (IRQ),,,1
1535929,KARRAR MOHAMMED,Male,Athlete,IRQ,Iraq,Iraq,183,0.0,['Football'],['Men'],06-01-2001,Athlete,National: Radhi Shenaishil (IRQ),,,1
1535930,NIHAD MOHAMMED,Male,Athlete,IRQ,Iraq,Iraq,177,0.0,['Football'],['Men'],14-01-2001,Athlete,National: Radhi Shenaishil (IRQ),,,1
1535959,DOUA C,Male,Athlete,MTN,Mauritania,Mauritania,0,0.0,['Swimming'],"[""Men's 50m Freestyle""]",23-02-2002,Athlete,"Personal: Gregory Mallet (FRA) - two-time Olympic silver medallist (2008, 2012)",,,0
1535993,CHEW C,Female,Athlete,SGP,Singapore,Singapore,0,0.0,['Equestrian'],['Dressage Individual'],18-04-1992,"Athlete, lawyer",Matthew Frost (GBR),Her family,,0
1536032,HERNANDEZ FLORES M,Female,Athlete,MEX,Mexico,Mexico,149,0.0,['Athletics'],"[""Women's Marathon""]",03-12-1985,"Athlete, administrator, assistant coach",Personal: Rafael Martinez (MEX),,,1
